"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","worksheet"
"1","10.1257/app.4.1.1","The Short- and Long-Term Career Effects of Graduating in a Recession",NA,"Jose","2012 vol. 4",2012,4,"Jose","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","Our data combines three administrative datasets from Statistics Canada. The first is the University Student Information System (USIS), which includes enrollment and graduate information of post-secondary students in Canada from 1974 to 1997. We augment the USIS data by linking it to income data from the T1 Family File (T1FF) between 1982 and 1999, and to an employer-employee matched dataset called the Longitudinal Employment Analysis Program database (LEAP).","Spring2016 list"
"2","10.1257/app.4.1.136","Sorting in Experiments with Application to Social Preferences",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes","Table 3 and 4, an figures couldn't be replicated",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"3","10.1257/app.4.2.134","Risk Pooling, Risk Preferences, and Social Networks",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes","Overall accurate results, however footnote regression don't provide in the article or additional materials",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"4","10.1257/app.4.1.164","Investing Cash Transfers to Raise Long-Term Living Standards",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes","Problems with estabb command",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"5","10.1257/app.4.4.1","Soap Operas and Fertility: Evidence from Brazil",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes","Code Error",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"6","10.1257/app.4.1.247","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","Partial","Encountered some error terms",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"7","10.1257/app.4.3.190","Expansions in Maternity Leave Coverage and Children's Long-Term Outcomes",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","No","Missing Data",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"8","10.1257/app.4.1.49","An Empirical Investigation of the Option Value of College Enrollment",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","no information","e National Educational Longitudinal Study (NELS).","Spring2016 list"
"9","10.1257/app.4.2.62","Reexamining the Impact of Family Planning Programs on US Fertility: Evidence from the War on Poverty and the Early Years of Title X",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","Partial","See replication.txt. Mostly replicated.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"10","10.1257/app.4.3.225","The Opt-In Revolution? Contraception and the Gender Gap in Wages",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","No","Missing Data",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
