"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","worksheet"
"1","10.1257/app.1.3.135","Task Specialization, Immigration, and Wages",NA,"Complete","2009 vol. 1",2009,"4/5","Madeline","Yes","Partial",NA,NA,NA,NA,NA,NA,NA,"Lack of clear comments/incorrect values",NA,NA,"Summer2016"
"2","10.1257/app.1.2.35","Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions",NA,"Complete","2009 vol. 1",2009,"3/5","Madeline","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"Package installations needed",NA,NA,"Summer2016"
"3","10.1257/app.1.1.136","Incentives and Services for College Achievement: Evidence from a Randomized Trial",NA,"Complete","2009 vol. 1",2009,"2/5","Madeline","Yes","Partial",NA,NA,NA,NA,NA,NA,NA,"Missing table; wrong values for some tables",NA,NA,"Summer2016"
"4","10.1257/app.1.4.200","In Pursuit of Balance: Randomization in Practice in Development Field Experiments",NA,NA,"2009 vol. 1",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer2016"
"5","10.1257/app.1.3.111","Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start",NA,NA,"2009 vol. 1",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer2016"
"6","10.1257/app.1.1.49","Separated at Girth: US Twin Estimates of the Effects of Birth Weight",40,"Complete","2009 vol. 1",2009,"4/5","Noah","Yes","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, regional","formal access","Several sources: California Deparment of Public Health,  Early Childhood Longitudinal Program - Birth Cohort (ECLS-B), The American Community Survey 2003. First data set: ""As personal information (names) is used to link children to their subsequent births, the data is only accessible via approval from the California Deparment of Public Health (http://www.cdph.ca.gov/data/dataresources/requests/Pages/BirthDataRequests.aspx)"". Second data set: ""To access the data, one needs to apply.  See http://nces.ed.gov/ecls/birth.asp for more information. 9-month followup data used."".","Y","N","Summer2016"
"7","10.1257/app.1.1.164","The Effect of Alcohol Consumption on Mortality: Regression Discontinuity Evidence from the Minimum Drinking Age",22,"Complete","2009 vol. 1",2009,"5/5","Noah","Yes","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","""Access to the NHIS and the vital statistics data can be arranged by getting human subjects approval then filling a request for data access to the Research Data Center at the National Center for Health Statistics in Hyattsville MD. Given the variables required you will probably be required to work on site in Hyattsville. The details of the application process and contact information are for the people in charge of granting data access are available at http://www.cdc.gov/nchs/r&d/rdc.htm""
","Y","N","Summer2016"
"8","10.1257/app.1.4.34","Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments",49,"Complete","2009 vol. 1",2009,"2/5","Noah","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer2016"
"9","10.1257/app.1.1.219","Fixing Market Failures or Fixing Elections? Agricultural Credit in India",35,"Complete","2009 vol. 1",2009,"5/5","Noah","Yes","No","Confidential Data","Confidential Data",NA,NA,NA,"private, other","formal access","credit data, from the Reserve Bank of India. No further information on how to access it.","N","N","Summer2016"
"10","10.1257/app.1.4.109","Consumption Responses to In-Kind Transfers: Evidence from the Introduction of the Food Stamp Program",34,"Complete","2009 vol. 1",2009,"4/5","Noah","Yes","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","PSID confidential data: ""The PSID county code data (data item 2) is available on request from the Panel Study of
Income Dynamics. See the information from the PSID FAQ page:
Due to our desire and obligation to protect respondent anonymity to the fullest extent
allowable by law, the Geocode files are not available in general public release at the
PSID Website or through the ICPSR. Rather, special contractual arrangements must be
made to ensure that analysts maintain respondent anonymity. Persons interested in such
contractual arrangements should contact Donna Nordquist by U.S. mail at Panel Study of
Income Dynamics, 3200 ISR, Box 1248, Ann Arbor, MI 48106-1248. You can also inquire
via email through PSID Help.
The process is somewhat lengthy and typically takes a couple of months. The timeframe
is dependent on contract language issues and the responsiveness of the requesting
institution. The analyst must submit a CV, a research plan, a sensitive data
protection plan, a human subjects review clearance/waiver, and a completed signed
contract. In addition, there is a non-refundable administrative fee due at the time
the contract is submitted.
http://psidonline.isr.umich.edu/Guide/FAQ.aspx#340""","Y","N","Summer2016"
