"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","worksheet"
"1","10.1257/app.2.1.62","Intergenerational Networks, Unemployment, and Persistent Inequality in South Africa","62-85","Sarah","2010 vol. 2",2010,1,"Sarah","Y","Partial",NA,NA,"Yaxian (Kelly)","Y","Partial",NA,NA,NA,NA,NA,"First2015"
"2","10.1257/app.2.1.149","Prize Structure and Information in Tournaments: Experimental Evidence","149-64","Nathan","2010 vol. 2",2010,1,"Nathan","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"3","10.1257/app.2.2.1","Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure","1-45","Sarah","2010 vol. 2",2010,1,"Yaxian (Kelly)","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"4","10.1257/app.2.2.179","Disclosure by Politicians","179-209","Sarah","2010 vol. 2",2010,1,"Alice","Y","No","Missing Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"5","10.1257/app.2.3.60","Microfinance Games","60-95","Haeyong","2010 vol. 2",2010,1,"Haeyong","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"6","10.1257/app.2.4.76","Beyond Signaling and Human Capital: Education and the Revelation of Ability","76-104","Sarah","2010 vol. 2",2010,1,"Yuxin","Y","Mostly",NA,NA,"Alice","Y","Y (mostly)",NA,NA,NA,NA,NA,"First2015"
"7","10.1257/app.2.1.33","Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan","33-61","Alice","2010 vol. 2",2010,2,"Alice","Y","Partial",NA,NA,"Yaxian (Kelly)","Y","Partial",NA,NA,NA,NA,NA,"First2015"
"8","10.1257/app.2.2.72","Early-Life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India","72-94","Yuxin","2010 vol. 2",2010,2,"Yuxin","Y","No","Confidential Data",NA,NA,NA,NA,"administrative, national","informal access, no commitment","We use the processed household- and person-level datasets from the 43rd roud of the NSS. These are not the raw datasets from the consumption and employment schedules. They are slightly processed and reconfigured datasets on license to the National Bureau of Economic Research (NBER) from the National Sample Survey Organization. Interested NBER-affiliated researchers should contact Jean Roth, jroth@nber.org, for more information. Researchers not affiliated with the NBER may contact Satya Narain Singh, director of the Co-ordination & Publication Division at the NSSO, satyanarain.singh@gmail.com. For information on creating the above datasets from the raw schedules data, please contact Jean Roth.","N","Y","First2015"
"9","10.1257/app.2.2.95","Ability, Gender, and Performance Standards: Evidence from Academic Probation","95-117","Nathan","2010 vol. 2",2010,2,"Nathan","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"10","10.1257/app.2.2.118","Modern Medicine and the Twentieth Century Decline in Mortality: Evidence on the Impact of Sulfa Drugs","118-46","Yaxian (Kelly)","2010 vol. 2",2010,2,"Sarah","Y","No","Confidential Data",NA,"Nathan","Y","Y (unavailable data for one table)","administrative, national","informal access, no commitment","For proprietary reasons, we are not able to provide these data for replication of our results. Researchers who would like to use these data can obtain the city‐level maternal mortality and birth data used to calculate the maternal mortality ratio from the annual vital statistics reports available on‐line from the NCHS","N","N","First2015"
"11","10.1257/app.2.3.22","Information, Direct Access to Farmers, and Rural Market Performance in Central India","22-45","Nathan","2010 vol. 2",2010,2,"Nathan","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"12","10.1257/app.2.3.129","Why Have College Completion Rates Declined? An Analysis of Changing Student Preparation and Collegiate Resources","129-57","Sarah","2010 vol. 2",2010,2,"Sarah","Y","No","Confidential Data",NA,NA,NA,NA,"administrative, national","no information","National Longitudinal Study of the High School Class of 1972 (NLS72) and the National Educational Longitudinal Study of 1988(NELS:88)","N","N","First2015"
"13","10.1257/app.2.4.42","Trade Adjustment and Human Capital Investments: Evidence from Indian Tariff Reform","42-75","Alice","2010 vol. 2",2010,2,"Yaxian (Kelly)","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"14","10.1257/app.2.4.200","Government Spending and Legislative Organization: Quasi-experimental Evidence from Germany","200-212","Haeyong","2010 vol. 2",2010,2,"Yaxian (Kelly)","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First2015"
"15","10.1257/app.2.1.165","Age at Arrival, English Proficiency, and Social Assimilation among US Immigrants","165-92","Yaxian (Kelly)","2010 vol. 2",2010,3,"Sarah","Y","Partial",NA,NA,"Nathan","Y","Partial",NA,NA,NA,NA,NA,"First2015"
