"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","worksheet"
"1","10.1257/app.4.1.1","The Short- and Long-Term Career Effects of Graduating in a Recession",NA,"Jose","2012 vol. 4",2012,4,"Jose","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","no information","Our data combines three administrative datasets from Statistics Canada. The first is the University Student Information System (USIS), which includes enrollment and graduate information of post-secondary students in Canada from 1974 to 1997. We augment the USIS data by linking it to income data from the T1 Family File (T1FF) between 1982 and 1999, and to an employer-employee matched dataset called the Longitudinal Employment Analysis Program database (LEAP).","N","N","Spring2016"
"2","10.1257/app.4.1.136","Sorting in Experiments with Application to Social Preferences",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"3","10.1257/app.4.2.134","Risk Pooling, Risk Preferences, and Social Networks",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"4","10.1257/app.4.1.164","Investing Cash Transfers to Raise Long-Term Living Standards",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"5","10.1257/app.4.4.1","Soap Operas and Fertility: Evidence from Brazil",NA,"Jose","2012 vol. 4",2012,NA,"Jose","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"6","10.1257/app.4.2.247","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","Partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"7","10.1257/app.4.3.190","Expansions in Maternity Leave Coverage and Children's Long-Term Outcomes",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","No","Missing Data",NA,NA,NA,NA,NA,NA,"""Data file: PISA03.zip, PISA06.zip; can be downloaded from http://www.pisa.oecd.org/pages/0,3417,en_32252351_32236130_1_1_1_1_1,00.html"". ""The data file blhvdr.dta cannot be distributed, but are accessible at the Forschungsdatenzentrum at the IAB in Nuremberg (http://fdz.iab.de/en.aspx)""","Y","N","Spring2016"
"8","10.1257/app.4.1.49","An Empirical Investigation of the Option Value of College Enrollment",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","National Educational Longitudinal Study (NELS), supplemented with institutional characteristics obtained from the Integrated Postsecondary Education Data System (IPEDS) 1992 Institutional Characteristics survey. Also data from NLSY79. Detailed description on how the dataset was constructed in the online appendix. Geographical coordinates constructed from http://www.census.gov/geo/www/gazetteer/gazette.html","Y","N","Spring2016"
"9","10.1257/app.4.2.62","Reexamining the Impact of Family Planning Programs on US Fertility: Evidence from the War on Poverty and the Early Years of Title X",NA,"Jack","2012 vol. 4",2012,NA,"Jack","Y","Partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016"
"10","10.1257/app.4.3.225","The Opt-In Revolution? Contraception and the Gender Gap in Wages",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","No","Missing Data",NA,NA,NA,NA,"administrative, national","informal access, no commitment","1970 National Fertility Study (NFS), NLS-YW, 1969 to 2009 March CPS. Dataset provided. ""Public-access versions of the NLS-YW are available from the Bureau of Labor Statistics at https://www.nlsinfo.org/investigator/pages/login.jsp. This paper involves use of the non-public Geocode data. Qualified researchers can request access to these data at http://www.bls.gov/nls/origcohortgeo.htm; Public-access versions of the National Fertility Survey, 1970 are available from ICPSR (for institutional members of ICPSR) at http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/20003. This paper involves use of the non-public Geocode data. Qualified researchers can request access to these data at http://www.icpsr.umich.edu/icpsrweb/ICPSR/ .""","Y","N","Spring2016"
